Country,GDP_USD_billion,Year
World,105568776,2023
United States,26854599,2023
China,19373586,[n 1]2023
Japan,4409738,2023
Germany,4308854,2023
India,3736882,2023
United Kingdom,3158938,2023
France,2923489,2023
Italy,2169745,2023
Canada,2089672,2023
Brazil,2081235,2023
Russia,2062649,2023
South Korea,1721909,2023
Australia,1707548,2023
Mexico,1663164,2023
Spain,1492432,2023
Indonesia,1391778,2023
Netherlands,1080880,2023
Saudi Arabia,1061902,2023
Turkey,1029303,2023
Switzerland,869601,2023
Taiwan,790728,[n 4]2023
Poland,748887,2023
Argentina,641102,2023
Belgium,624248,2023
Sweden,599052,2023
Ireland,594095,2023
Thailand,574231,2023
Norway,554105,2023
Israel,539223,2023
Singapore,515548,2023
Austria,515199,2023
Nigeria,506601,2023
United Arab Emirates,498978,2023
Vietnam,449094,2023
Malaysia,447026,2023
Philippines,440901,2023
Bangladesh,420516,2023
Denmark,405626,2023
South Africa,399015,2023
Hong Kong,382854,[n 5]2023
Egypt,378110,2023
Pakistan,0,"376,533"
Iran,367970,2023
Chile,358557,2023
Romania,348902,2023
Colombia,334689,2023
Czech Republic,330483,2023
Finland,301670,2023
Peru,268235,2023
Iraq,267893,2023
Portugal,267721,2023
New Zealand,251969,2023
Kazakhstan,245695,2023
Greece,239300,2023
Qatar,219570,2023
Algeria,206007,2023
Hungary,188505,2023
Kuwait,164713,2023
Ethiopia,156083,2023
Ukraine,148712,[n 6]2023
Morocco,138781,2023
Slovakia,127533,2023
Ecuador,121291,2023
Dominican Republic,121289,2023
Puerto Rico,120838,2023
Kenya,118130,2023
Angola,117877,2023
Cuba,0,"107,352"
Oman,104902,2023
Guatemala,102309,2023
Bulgaria,100635,2023
Venezuela,96628,2023
Uzbekistan,92332,2023
Luxembourg,86971,2023
Tanzania,85421,2023
Turkmenistan,82649,2023
Croatia,78881,2023
Lithuania,78346,2023
Costa Rica,77777,2023
Uruguay,77313,2023
Panama,77257,2023
Ivory Coast,77047,2023
Sri Lanka,0,"74,404"
Serbia,73961,2023
Belarus,73543,2023
Azerbaijan,70030,2023
DR Congo,69474,2023
Slovenia,68108,2023
Ghana,66622,2023
Myanmar,63988,2023
Jordan,52061,2023
Tunisia,49815,2023
Uganda,49792,2023
Cameroon,48625,2023
Latvia,47398,2023
Sudan,46705,2023
Libya,46297,2023
Bolivia,46097,2023
Bahrain,44870,2023
Paraguay,42820,2023
Nepal,42097,2023
Estonia,41551,2023
Macau,35841,[n 9]2023
El Salvador,33752,2023
Honduras,32860,2023
Papua New Guinea,31362,2023
Senegal,31221,2023
Cyprus,30864,[n 10]2023
Cambodia,30628,2023
Zimbabwe,29931,2023
Zambia,29272,2023
Iceland,28625,2023
Bosnia and Herzegovina,28488,2023
Trinidad and Tobago,28223,2023
Georgia,27947,[n 11]2023
Haiti,26580,2023
Lebanon,0,—
Armenia,23725,2023
Guinea,23330,2023
Burkina Faso,21076,2023
Mali,20776,2023
Gabon,20330,2023
Albania,20177,2023
Afghanistan,0,—
Mozambique,19909,2023
Palestine,19206,[n 12]2023
Botswana,19572,2023
Yemen,19529,2023
Malta,19405,2023
Benin,19236,2023
Nicaragua,17287,2023
Jamaica,17254,2023
Mongolia,16908,2023
Niger,16617,2023
Guyana,16309,2023
Brunei,15988,2023
Madagascar,15969,2023
North Korea,0,—
Moldova,15829,[n 14]2023
Syria,0,—
North Macedonia,15278,2023
Equatorial Guinea,15099,2023
Mauritius,14570,2023
Bahamas,14114,2023
Laos,14091,2023
Namibia,13486,2023
Rwanda,13149,2023
Congo,13031,2023
Tajikistan,12796,2023
Kyrgyzstan,12309,2023
Chad,11962,2023
Malawi,11277,2023
Mauritania,10966,2023
New Caledonia,0,—
Kosovo,9990,2023
Togo,9001,2023
Somalia,8738,2023
Monaco,0,—
Bermuda,0,"7,551"
Montenegro,7027,2023
South Sudan,7012,2023
Maldives,7004,2023
Liechtenstein,0,—
Barbados,6117,2023
French Polynesia,0,—
Cayman Islands,0,—
Fiji,5385,2023
Eswatini,4824,2023
Liberia,4375,2023
Djibouti,3916,2023
Andorra,3669,2023
Aruba,3633,2023
Sierra Leone,3520,2023
Suriname,3470,2023
Burundi,3234,2023
Belize,3162,2023
Greenland,0,—
Central African Republic,2736,2023
Curaçao,0,—
Bhutan,2683,2023
Eritrea,2666,2023
Lesotho,2584,2023
Cape Verde,2468,2023
Gambia,2277,2023
Saint Lucia,2262,2023
East Timor,1988,2023
Seychelles,1950,2023
Guinea-Bissau,1887,2023
Antigua and Barbuda,1864,2023
San Marino,1807,2023
Zanzibar,0,—
Solomon Islands,1701,2023
British Virgin Islands,0,—
Comoros,1348,2023
Grenada,1274,2023
Vanuatu,1064,2023
Saint Kitts and Nevis,1052,2023
Saint Vincent and the Grenadines,1039,2023
Turks and Caicos Islands,0,"1,139"
Samoa,898,2023
Sint Maarten,0,"1,572"
Dominica,681,2023
São Tomé and Príncipe,625,2023
Tonga,541,2023
Micronesia,456,2023
Marshall Islands,291,2023
Cook Islands,0,—
Palau,262,2023
Anguilla,0,—
Kiribati,248,2023
Nauru,151,2023
Montserrat,0,—
Tuvalu,65,2023
